name,url,uuid,tags,username,license,description,duration,geotags
30 Bed 1.mp3,https://freesound.org/people/kennysvoice/sounds/489370/,4a519bd9-cb63-4776-8be4-339600ad8b1c,['Adobe'+ 'music'+ 'bed'],kennysvoice,http://creativecommons.org/publicdomain/zero/1.0/,Music created with Adobe Audition,30.4073,
Jumping into bed 2-01.R.wav,https://freesound.org/people/Hupguy/sounds/138269/,57512782-1d14-491f-be17-5969aa64cb71,['into'+ 'jumping'+ 'bed'],Hupguy,http://creativecommons.org/publicdomain/zero/1.0/,Jumping into bed,6.32283,
Squeaking Bed.wav,https://freesound.org/people/CheneWessels_170017/sounds/407611/,f4e29685-756e-4d06-be73-e12fc937c024,['Squeak'+ 'Jump'+ 'Squeaking'+ 'OWI'+ 'Bed'],CheneWessels_170017,http://creativecommons.org/licenses/by-nc/3.0/,Recording of a person jumping on a bed.,12.86,
Backpack on bed.sse.wav,https://freesound.org/people/snapssound/sounds/575518/,04313a66-7110-48b1-8510-bffa3b5482d1,['Impact'+ 'Backpack'+ 'Hit'+ 'Bed'+ 'Thump'],snapssound,http://creativecommons.org/publicdomain/zero/1.0/,Backpack repeatedly thrown on bed,7.32667,41.7472938044 -88.3028366664
Falling on the Bed.wav,https://freesound.org/people/krnash/sounds/389796/,49dbf7e7-9ecd-4bca-8b11-b873c1d237cc,['light'+ 'falling'+ 'bed'],krnash,http://creativecommons.org/publicdomain/zero/1.0/,falling onto a bed,6.5,
Opening and CLosing Wood Drawers with tools.wav,https://freesound.org/people/rar2k/sounds/513585/,cb3f418c-ae18-42bf-86cd-a86504abd7a1,['Drawers'+ 'CLosing'+ 'Wood'+ 'tools'+ 'Opening'],rar2k,http://creativecommons.org/licenses/by/3.0/,Opening and CLosing Wood Drawers with tools,6.90429,
Opening and Closing Wooden Drawers with stuff.wav,https://freesound.org/people/rar2k/sounds/513589/,f8065f21-7bda-44a3-9d90-778a533587f9,['Wooden'+ 'Drawers'+ 'Closing'+ 'stuff'+ 'Opening'],rar2k,http://creativecommons.org/licenses/by/3.0/,Opening and Closing Wooden Drawers with stuff,12.3977,
Openin and closing Wood Drawers with tools.wav,https://freesound.org/people/rar2k/sounds/513586/,6ed8cd75-d92e-4c79-aa6f-139dd6b8e21c,['Drawers'+ 'closing'+ 'Openin'+ 'Wood'+ 'tools'],rar2k,http://creativecommons.org/licenses/by/3.0/,Openin and closing Wood Drawers with tools,11.5207,
Going through drawers]s looking for somthing.wav,https://freesound.org/people/StudentTanita/sounds/327150/,4203a689-6087-4a85-b433-777f22ef54eb,['drawer'+ 'slam'+ 'close'+ 'rough'+ 'open'+ 'find'+ 'OWI'+ 'opened'+ 'angry'+ 'looking'+ 'sound-effect'+ 'closed'+ 'stationery'+ 'frustrated'+ 'sort'+ 'shut'+ 'desk'+ 'search'+ 'look'+ 'drawers'+ 'organise'+ 'clothes'],StudentTanita,http://creativecommons.org/licenses/by-nc/3.0/,Opening and closing drawers in search for something,32.7626,
drawers.wav,https://freesound.org/people/sagetyrtle/sounds/37800/,1aa2c41e-1893-4aea-a25e-cd28d583e8f3,['binaural'+ 'clothes'+ 'drawer'+ 'drawers'+ 'foley'+ 'pack'+ 'packing'+ 'stereo'+ 'suitcase'],sagetyrtle,http://creativecommons.org/publicdomain/zero/1.0/,Packing a suitcase with clothes from dresser drawers. Fast and angry. Stereo binaural recording.,40.8294,
